"qiitaID","run_prefix"
"13722.58cfa831e4b0c9d6adf6c5d2","TCGA-CN-5365-10A-01D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c713","TCGA-CV-7090-10A-01D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c79b","TCGA-CV-6433-11A-01D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c7e8","TCGA-CV-7255-11A-01D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c51a","TCGA-CN-4730-10A-01D-1431_120712_SN1222_0125_BD13TPACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c60a","TCGA-CQ-6220-01A-11D-1911_120504_SN1222_0102_BC0VHDACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c610","TCGA-CQ-6221-01A-11D-2317_120623_SN1222_0119_BC0WLLACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c5bf","TCGA-CN-5356-10A-01D-1431_120412_SN208_0284_BD0T51ACXX_s_8_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c602","TCGA-CQ-6225-01A-11D-1911_120504_SN208_0296_AC0V09ACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c69c","TCGA-CQ-6229-01A-11D-1911_120504_SN208_0296_AC0V09ACXX_s_2_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c70c","TCGA-CV-5973-01A-11D-1681_120427_SN1120_0137_BD0T3FACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c6a0","TCGA-CQ-6224-01A-11D-1911_120504_SN1222_0102_BC0VHDACXX_s_4_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c6b8","TCGA-CV-5431-11A-01D-1509_120420_SN208_0286_BD0T87ACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c716","TCGA-CV-7428-10A-01D-2317_120623_SN1222_0119_BC0WLLACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c7ec","TCGA-CV-7263-10A-01D-2317_120623_SN1222_0118_AD13T1ACXX_s_4_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c7a3","TCGA-CV-6954-01A-11D-1911_120505_SN1120_0138_AD11NHACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c7f0","TCGA-CV-7429-10A-01D-2317_120622_SN1120_0156_BD123WACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c7e7","TCGA-CV-5977-11A-01D-1681_120427_SN1120_0137_BD0T3FACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c80f","TCGA-CV-6938-01A-11D-1911_120504_SN208_0296_AC0V09ACXX_s_4_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c819","TCGA-CN-6998-01A-23D-2317_120623_SN1222_0118_AD13T1ACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c858","TCGA-D6-6517-01A-11D-1868_120427_SN208_0288_BD0RWBACXX_s_3_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c863","TCGA-CV-6960-10A-01D-2317_120623_SN1222_0118_AD13T1ACXX_s_2_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c246","TCGA-BA-4078-01A-01D-1431_120612_SN590_0161_AC0VUTACXX_s_5_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c9c7","TCGA-DQ-5630-01A-01D-1868_120504_SN1222_0101_AC0UMDACXX_s_1_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6ca92","TCGA-DQ-5624-01A-01D-1868_120427_SN208_0288_BD0RWBACXX_s_5_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c250","TCGA-BA-4078-10A-01D-1431_120612_SN590_0161_AC0VUTACXX_s_6_rg.sorted.filtered."
"13722.58cfa832e4b0c9d6adf6cf1a","TCGA-H7-7774-01A-21D-2317_120623_SN1222_0119_BC0WLLACXX_s_4_rg.sorted.filtered."
"13722.58cfa82ee4b0c9d6adf6a8d6","G23072.TCGA_BB_4225_01A_01D_2268_08.1.filtered."
"13722.58cfa830e4b0c9d6adf6c149","TCGA-BA-4076-01A-01D-2266-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6a8","TCGA-CV-5432-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6ee","TCGA-CR-6467-01A-11D-2266-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c845","TCGA-CV-5442-01A-01D-2266-10_Illumina.filtered."
"13722.58cfa82ee4b0c9d6adf6aa01","G23078.TCGA_CR_6487_01A_11D_2268_08.2.filtered."
"13722.58cfa82ee4b0c9d6adf6aab8","G23079.TCGA_CR_6482_01A_11D_2268_08.2.filtered."
"13722.58cfa830e4b0c9d6adf6c162","TCGA-BA-5149-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa830e4b0c9d6adf6c18e","TCGA-BA-6869-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa830e4b0c9d6adf6c1b0","TCGA-BA-5556-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa830e4b0c9d6adf6c1b4","TCGA-BA-6872-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c608","TCGA-CN-5365-01A-01D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c682","TCGA-CR-5250-01A-01D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6b2","TCGA-CR-5249-01A-01D-2276-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c68e","TCGA-CQ-6225-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6ec","TCGA-CQ-6228-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6dc","TCGA-CR-7382-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c79a","TCGA-CV-7255-01A-11D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c78e","TCGA-CV-6956-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6f8","TCGA-CR-6491-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c79f","TCGA-CX-7086-10D-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c7e3","TCGA-CV-5973-11A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c807","TCGA-CV-7432-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c6a6","TCGA-CV-5431-11A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c81d","TCGA-CV-6433-01A-11D-2276-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c8f6","TCGA-CN-6994-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c966","TCGA-CN-5374-01A-01D-2266-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c933","TCGA-CN-6989-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c83b","TCGA-CV-7180-01A-11D-2266-10_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c917","TCGA-CN-6011-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c97e","TCGA-DQ-5625-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6ca66","TCGA-DQ-5629-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa832e4b0c9d6adf6d20a","TCGA-HD-7753-10A-01D-A32X-10_wgs_Illumina.filtered."
"13722.58cfa831e4b0c9d6adf6c7e1","TCGA-CV-7090-01A-11D-2276-10_Illumina.filtered."
"13722.58cfa830e4b0c9d6adf6bd8f","TCGA-BB-4223-01A-01D-1431_120423_SN590_0154_AC0JBHACXX_s_7_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c146","TCGA-BA-4074-10A-01D-1431_120310_SN590_0145_BD0RGYACXX_s_2_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c160","TCGA-BA-5149-10A-01D-1509_120420_SN208_0285_AD0T5JACXX_s_4_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c16c","TCGA-BA-5557-01A-01D-1509_120420_SN1120_0135_BD0T5FACXX_s_4_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c17e","TCGA-BA-4074-01A-01D-1431_120310_SN590_0145_BD0RGYACXX_s_1_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c1ce","TCGA-BB-4224-10A-01D-1431_120423_SN590_0153_BC0KJ3ACXX_s_2_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c1db","TCGA-BB-4224-01A-01D-1431_120423_SN590_0153_BC0KJ3ACXX_s_1_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c242","TCGA-BB-4223-10A-01D-1431_120423_SN590_0154_AC0JBHACXX_s_8_rg.sorted.filtered."
"13722.58cfa830e4b0c9d6adf6c174","TCGA-BA-4076-10A-01D-1431_120310_SN590_0145_BD0RGYACXX_s_6_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c522","TCGA-CN-4731-01A-01D-1431_120513_SN590_0157_AD0PU3ACXX_s_7_rg.sorted.filtered."
"13722.58cfa831e4b0c9d6adf6c5d8","TCGA-CN-5363-01A-01D-1431_120418_SN1222_0098_BD0T68ACXX_s_3_rg.sorted.filtered."
