"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"52","Kidney Chromophobe","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",50,2038,"Kidney Chromophobe","OtherCancerType",0.988652482269504,0.669828767511887
"53","Kidney Renal Clear Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",43,2045,"Kidney Renal Clear Cell Carcinoma","OtherCancerType",0.997824904839587,0.897093374095307
"54","Kidney Renal Papillary Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",37,2051,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.966592756836659,0.328989184460481
"55","Liver Hepatocellular Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",54,2034,"Liver Hepatocellular Carcinoma","OtherCancerType",0.95625,0.773410420045265
"56","Lung Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",158,1930,"Lung Adenocarcinoma","OtherCancerType",0.96240767280344,0.843763729202747
"57","Lung Squamous Cell Carcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",49,2039,"Lung Squamous Cell Carcinoma","OtherCancerType",0.923778349310264,0.474269549165307
"58","Ovarian Serous Cystadenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",67,2021,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.959405940594059,0.672878535654392
"59","Prostate Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",136,1952,"Prostate Adenocarcinoma","OtherCancerType",0.974145299145299,0.634866464043299
"60","Rectum Adenocarcinoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",60,2028,"Rectum Adenocarcinoma","OtherCancerType",0.968384502923977,0.430433234921669
"61","Sarcoma","Primary Tumor","vsnmDataGenusKrakenQCFiltWIS_WGS","metaDataFinalNonzeroQC_WGS",40,2048,"Sarcoma","OtherCancerType",0.998914223669924,0.949722892924893
