#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist	top_hit_sp	top_hit_genome
99-108	uSGB_22218:Family:k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB14678|s__GGB14678_SGB22218|t__SGB22218:0.405585	GGB14678_SGB22218	SGB22218
100-1090	kSGB_50743:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cholerae|t__SGB50743:0.142009	Vibrio_cholerae	SGB50743
112-1100	kSGB_24946:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_unclassified|s__Peptostreptococcaceae_bacterium_pGA_8|t__SGB24946:0.291447	Peptostreptococcaceae_bacterium_pGA_8	SGB24946
33-102	uSGB_6055:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_SGB6055|t__SGB6055:0.056180400000000005	Leptotrichia_SGB6055	SGB6055
114-1102	uSGB_36220:Other:k__Bacteria|p__Bacteroidetes|c__CFGB7692|o__OFGB7692|f__FGB7692|g__GGB24382|s__GGB24382_SGB36220|t__SGB36220:0.405585	GGB24382_SGB36220	SGB36220
95-1086	kSGB_6631:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava|t__SGB6631:0.312952	Johnsonella_ignava	SGB6631
105-1095	kSGB_24946:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_unclassified|s__Peptostreptococcaceae_bacterium_pGA_8|t__SGB24946:0.283502	Peptostreptococcaceae_bacterium_pGA_8	SGB24946
118-1106	uSGB_27139:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB18376|s__GGB18376_SGB27139|t__SGB27139:0.248764	GGB18376_SGB27139	SGB27139
94-1085	kSGB_29470:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Murdochiella|s__Murdochiella_vaginalis|t__SGB29470:0.35328	Murdochiella_vaginalis	SGB29470
106-1096	uSGB_38789:Other:k__Bacteria|p__Proteobacteria|c__CFGB4999|o__OFGB4999|f__FGB4999|g__GGB26610|s__GGB26610_SGB38789|t__SGB38789:0.405585	GGB26610_SGB38789	SGB38789
117-1105	uSGB_3593:Other:k__Bacteria|p__Spirochaetes|c__CFGB1017|o__OFGB1017|f__FGB1017|g__GGB2666|s__GGB2666_SGB3593|t__SGB3593:0.339586	GGB2666_SGB3593	SGB3593
109-1099	kSGB_1485:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava|t__SGB1485:0.320287	Alloprevotella_rava	SGB1485
115-1103	uSGB_1:Other:k__Bacteria|p__Firmicutes|c__CFGB1|o__OFGB1|f__FGB1|g__GGB1|s__GGB1_SGB1|t__SGB1:1.0	GGB1_SGB1	SGB1
107-1097	kSGB_3612:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_denticola|t__SGB3612:0.35328	Treponema_denticola	SGB3612
113-1101	uSGB_48316:Other:k__Bacteria|p__Bacteroidetes|c__CFGB12419|o__OFGB12419|f__FGB12419|g__GGB35350|s__GGB35350_SGB48316|t__SGB48316:0.328965	GGB35350_SGB48316	SGB48316
116-1104	kSGB_3612:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_denticola|t__SGB3612:0.339586	Treponema_denticola	SGB3612
120-1108	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.207842	Streptococcus_pneumoniae	SGB50616
