#input_bin	[u|k]_[S|G|F]GBid:taxa_level:taxonomy:avg_dist	top_hit_sp	top_hit_genome
974-726	kSGB_1522:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae|t__SGB1522:0.2681507121212121	Prevotella_salivae	SGB1522
975-727	uSGB_52332:Other:k__Bacteria|p__Bacteroidetes|c__CFGB12244|o__OFGB12244|f__FGB12244|g__GGB34999|s__GGB34999_SGB52332|t__SGB52332:0.35328	GGB34999_SGB52332	SGB52332
984-735	uSGB_1513:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1513|t__SGB1513:0.35328	Prevotella_SGB1513	SGB1513
973-725	kSGB_27874:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Metaprevotella|s__Metaprevotella_massiliensis|t__SGB27874:0.206387	Metaprevotella_massiliensis	SGB27874
982-733	kSGB_5442:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Candidatus_Carsonella|s__Candidatus_Carsonella_ruddii|t__SGB5442:0.372583	Candidatus_Carsonella_ruddii	SGB5442
981-732	kSGB_27854:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_sp_OH1205_COT_284|t__SGB27854:0.372583	Alloprevotella_sp_OH1205_COT_284	SGB27854
983-734	uSGB_14328:Other:k__Bacteria|p__Firmicutes|c__CFGB2987|o__OFGB2987|f__FGB2987|g__GGB9355|s__GGB9355_SGB14328|t__SGB14328:0.405585	GGB9355_SGB14328	SGB14328
980-731	kSGB_24946:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_unclassified|s__Peptostreptococcaceae_bacterium_pGA_8|t__SGB24946:0.328965	Peptostreptococcaceae_bacterium_pGA_8	SGB24946
985-736	uSGB_48583:Other:k__Bacteria|p__Bacteroidetes|c__CFGB11887|o__OFGB11887|f__FGB11887|g__GGB34492|s__GGB34492_SGB48583|t__SGB48583:0.270747	GGB34492_SGB48583	SGB48583
987-738	uSGB_48695:Other:k__Bacteria|p__Firmicutes|c__CFGB13878|o__OFGB13878|f__FGB13878|g__GGB38062|s__GGB38062_SGB48695|t__SGB48695:0.248764	GGB38062_SGB48695	SGB48695
995-745	uSGB_4492:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_SGB4492|t__SGB4492:0.287309	Lachnoanaerobaculum_SGB4492	SGB4492
991-741	uSGB_19343:Genus:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_SGB19343|t__SGB19343:0.3081415	Campylobacter_SGB19343	SGB19343
988-739	uSGB_6016:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6016|t__SGB6016:0.250557	Fusobacterium_SGB6016	SGB6016
994-744	uSGB_47539:Genus:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_SGB47539|t__SGB47539:0.372583	Synechococcus_SGB47539	SGB47539
990-740	uSGB_41991:Other:k__Bacteria|p__Firmicutes|c__CFGB8207|o__OFGB8207|f__FGB8207|g__GGB29240|s__GGB29240_SGB41991|t__SGB41991:0.405585	GGB29240_SGB41991	SGB41991
993-743	kSGB_27874:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Metaprevotella|s__Metaprevotella_massiliensis|t__SGB27874:0.279978	Metaprevotella_massiliensis	SGB27874
992-742	uSGB_5999:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB5999|t__SGB5999:0.265342	Fusobacterium_SGB5999	SGB5999
996-746	uSGB_3592:Other:k__Bacteria|p__Spirochaetes|c__CFGB1017|o__OFGB1017|f__FGB1017|g__GGB2666|s__GGB2666_SGB3592|t__SGB3592:0.270747	GGB2666_SGB3592	SGB3592
986-737	uSGB_6012:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB6012|t__SGB6012:0.328965	Fusobacterium_SGB6012	SGB6012
1005-754	uSGB_3700:Other:k__Bacteria|p__Proteobacteria|c__CFGB1074|o__OFGB1074|f__FGB1074|g__GGB2753|s__GGB2753_SGB3700|t__SGB3700:0.405585	GGB2753_SGB3700	SGB3700
999-749	kSGB_3608:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_sp_OMZ_838|t__SGB3608:0.328965	Treponema_sp_OMZ_838	SGB3608
1002-751	uSGB_47173:Other:k__Bacteria|p__Bacteria_unclassified|c__CFGB13882|o__OFGB13882|f__FGB13882|g__GGB38068|s__GGB38068_SGB47173|t__SGB47173:0.199716	GGB38068_SGB47173	SGB47173
1006-755	uSGB_9333:Other:k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601|s__GGB6601_SGB9333|t__SGB9333:0.9986176395348837	GGB6601_SGB9333	SGB9333
1003-752	uSGB_48695:Other:k__Bacteria|p__Firmicutes|c__CFGB13878|o__OFGB13878|f__FGB13878|g__GGB38062|s__GGB38062_SGB48695|t__SGB48695:0.236445	GGB38062_SGB48695	SGB48695
977-729	uSGB_6250:Other:k__Bacteria|p__Firmicutes|c__CFGB1763|o__OFGB1763|f__FGB1763|g__GGB4536|s__GGB4536_SGB6250|t__SGB6250:0.4055849999999999	GGB4536_SGB6250	SGB6250
1001-750	kSGB_50743:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cholerae|t__SGB50743:0.18918	Vibrio_cholerae	SGB50743
1004-753	uSGB_1552:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1552|t__SGB1552:0.405585	Prevotella_SGB1552	SGB1552
998-748	uSGB_47907:Other:k__Bacteria|p__Firmicutes|c__CFGB10682|o__OFGB10682|f__FGB10682|g__GGB32402|s__GGB32402_SGB47907|t__SGB47907:0.372583	GGB32402_SGB47907	SGB47907
1007-756	kSGB_3616:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_putidum|t__SGB3616:0.291447	Treponema_putidum	SGB3616
997-747	uSGB_18091:Other:k__Bacteria|p__Proteobacteria|c__CFGB3600|o__OFGB3600|f__FGB3600|g__GGB11373|s__GGB11373_SGB18091|t__SGB18091:0.405585	GGB11373_SGB18091	SGB18091
1010-759	uSGB_17936:Other:k__Bacteria|p__Cyanobacteria|c__CFGB3492|o__OFGB3492|f__FGB3492|g__GGB11220|s__GGB11220_SGB17936|t__SGB17936:0.405585	GGB11220_SGB17936	SGB17936
900-65	kSGB_1560:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia|t__SGB1560:0.0363093609375	Prevotella_intermedia	SGB1560
778-54	kSGB_31711:Species:k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_Ant_H11|t__SGB31711:0.015817064999999998	Sphingomonas_sp_Ant_H11	SGB31711
1008-757	uSGB_3588:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3588|t__SGB3588:0.22619499999999998	Treponema_SGB3588	SGB3588
1014-762	kSGB_50616:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50616:0.276697	Streptococcus_pneumoniae	SGB50616
1012-760	kSGB_50743:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cholerae|t__SGB50743:0.223483	Vibrio_cholerae	SGB50743
1009-758	uSGB_4489:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_SGB4489|t__SGB4489:0.26803	Lachnoanaerobaculum_SGB4489	SGB4489
1013-761	kSGB_49314:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__OCS155_cluster_bacterium_AG_349_E07|t__SGB49314:0.405585	OCS155_cluster_bacterium_AG_349_E07	SGB49314
1017-765	uSGB_1410:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_SGB1410|t__SGB1410:0.3597143333333333	Alloprevotella_SGB1410	SGB1410
1015-763	uSGB_1467:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1143|s__GGB1143_SGB1467|t__SGB1467:0.2951633333333333	GGB1143_SGB1467	SGB1467
1019-767	uSGB_47086:Genus:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_SGB47086|t__SGB47086:0.312952	Burkholderia_SGB47086	SGB47086
1023-770	kSGB_17130:Species:k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__SGB17130:0.3381493961038961	Actinomyces_graevenitzii	SGB17130
723-4	kSGB_11683:Species:k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_taxi|t__SGB11683:0.08523320000000001	Sphingomonas_taxi	SGB11683
1016-764	uSGB_3604:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3604|t__SGB3604:0.339586	Treponema_SGB3604	SGB3604
1018-766	kSGB_50617:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50617:0.170932	Streptococcus_pneumoniae	SGB50617
978-72	kSGB_4940:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__SGB4940:0.11304753407275954	Roseburia_inulinivorans	SGB4940
1026-773	uSGB_19661:Other:k__Bacteria|p__Bacteroidetes|c__CFGB4300|o__OFGB4300|f__FGB4300|g__GGB12672|s__GGB12672_SGB19661|t__SGB19661:0.405585	GGB12672_SGB19661	SGB19661
1025-772	kSGB_6654:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_sp_oral_taxon_110|t__SGB6654:0.295981	Parvimonas_sp_oral_taxon_110	SGB6654
1020-768	kSGB_24946:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_unclassified|s__Peptostreptococcaceae_bacterium_pGA_8|t__SGB24946:0.306598	Peptostreptococcaceae_bacterium_pGA_8	SGB24946
1024-771	uSGB_3604:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3604|t__SGB3604:0.339586	Treponema_SGB3604	SGB3604
1021-769	uSGB_47645:Other:k__Bacteria|p__Firmicutes|c__CFGB10538|o__OFGB10538|f__FGB10538|g__GGB32135|s__GGB32135_SGB47645|t__SGB47645:0.192791	GGB32135_SGB47645	SGB47645
1028-775	uSGB_1512:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1512|t__SGB1512:0.405585	Prevotella_SGB1512	SGB1512
1000-74	kSGB_6663:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_hydrogenalis|t__SGB6663:0.09740126666666667	Anaerococcus_hydrogenalis	SGB6663
1031-778	kSGB_732:Species:k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__SGB732:0.35407764462809904	Saccharomyces_cerevisiae	SGB732
1034-780	uSGB_45147:Other:k__Bacteria|p__Fusobacteria|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31781|s__GGB31781_SGB45147|t__SGB45147:0.39458433333333326	GGB31781_SGB45147	SGB45147
1027-774	kSGB_11265:Species:k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillum|s__Rhodospirillum_centenum|t__SGB11265:0.405585	Rhodospirillum_centenum	SGB11265
1035-781	uSGB_13186:Family:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae|g__GGB8476|s__GGB8476_SGB13186|t__SGB13186:0.405585	GGB8476_SGB13186	SGB13186
1029-776	uSGB_18727:Other:k__Bacteria|p__Firmicutes|c__CFGB3939|o__OFGB3939|f__FGB3939|g__GGB11974|s__GGB11974_SGB18727|t__SGB18727:0.4055849999999999	GGB11974_SGB18727	SGB18727
1030-777	uSGB_5998:Genus:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_SGB5998|t__SGB5998:0.26546	Fusobacterium_SGB5998	SGB5998
1032-779	uSGB_749:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_SGB749|t__SGB749:0.3425676865671642	Peptostreptococcus_SGB749	SGB749
1039-785	uSGB_1538:Family:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1188|s__GGB1188_SGB1538|t__SGB1538:0.3012895	GGB1188_SGB1538	SGB1538
889-64	uSGB_4476:Other:k__Bacteria|p__Firmicutes|c__CFGB1395|o__OFGB1395|f__FGB1395|g__GGB3388|s__GGB3388_SGB4476|t__SGB4476:0.028336914285714287	GGB3388_SGB4476	SGB4476
1038-784	kSGB_27876:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_falsenii|t__SGB27876:0.320287	Prevotella_falsenii	SGB27876
1040-786	uSGB_3588:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3588|t__SGB3588:0.2270045	Treponema_SGB3588	SGB3588
1042-788	uSGB_42402:Family:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB29601|s__GGB29601_SGB42402|t__SGB42402:0.5244679999999999	GGB29601_SGB42402	SGB42402
1047-792	uSGB_47175:Other:k__Bacteria|p__Firmicutes|c__CFGB13851|o__OFGB13851|f__FGB13851|g__GGB37987|s__GGB37987_SGB47175|t__SGB47175:0.273629	GGB37987_SGB47175	SGB47175
1045-790	kSGB_1527:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_enoeca|t__SGB1527:0.283502	Prevotella_enoeca	SGB1527
1036-782	kSGB_3936:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_infirmum|t__SGB3936:0.2305935	Eubacterium_infirmum	SGB3936
979-730	kSGB_29482:Species:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massilimicrobiota|s__Massilimicrobiota_timonensis|t__SGB29482:0.273629	Massilimicrobiota_timonensis	SGB29482
1049-794	uSGB_3615:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3615|t__SGB3615:0.320287	Treponema_SGB3615	SGB3615
1043-789	kSGB_6631:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava|t__SGB6631:0.320287	Johnsonella_ignava	SGB6631
1046-791	uSGB_21376:Other:k__Bacteria|p__Bacteroidetes|c__CFGB4839|o__OFGB4839|f__FGB4839|g__GGB13952|s__GGB13952_SGB21376|t__SGB21376:0.405585	GGB13952_SGB21376	SGB21376
956-70	kSGB_2016:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis|t__SGB2016:0.04413574705882353	Porphyromonas_endodontalis	SGB2016
867-62	kSGB_1525:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris|t__SGB1525:0.026074250000000004	Prevotella_oris	SGB1525
1053-798	kSGB_6193:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_colicanis|t__SGB6193:0.300994	Clostridium_colicanis	SGB6193
1037-783	uSGB_47083:Family:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__GGB39863|s__GGB39863_SGB47083|t__SGB47083:0.25242	GGB39863_SGB47083	SGB47083
1054-799	kSGB_27841:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonadaceae_unclassified|s__Porphyromonadaceae_bacterium_H1|t__SGB27841:0.405585	Porphyromonadaceae_bacterium_H1	SGB27841
1048-793	uSGB_5284:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_SGB5284|t__SGB5284:0.233808	Oribacterium_SGB5284	SGB5284
1051-796	kSGB_28418:Species:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus|s__Prochlorococcus_marinus|t__SGB28418:0.405585	Prochlorococcus_marinus	SGB28418
1050-795	uSGB_4489:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum_SGB4489|t__SGB4489:0.35328	Lachnoanaerobaculum_SGB4489	SGB4489
1052-797	kSGB_24947:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_500|t__SGB24947:0.35328	Lachnospiraceae_bacterium_oral_taxon_500	SGB24947
1057-800	uSGB_17900:Other:k__Bacteria|p__Spirochaetes|c__CFGB3471|o__OFGB3471|f__FGB3471|g__GGB11186|s__GGB11186_SGB17900|t__SGB17900:0.405585	GGB11186_SGB17900	SGB17900
911-66	kSGB_19315:Species:k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_rectus|t__SGB19315:0.03751235	Campylobacter_rectus	SGB19315
1058-801	uSGB_47029:Genus:k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_SGB47029|t__SGB47029:0.287309	Burkholderia_SGB47029	SGB47029
1060-803	uSGB_47175:Other:k__Bacteria|p__Firmicutes|c__CFGB13851|o__OFGB13851|f__FGB13851|g__GGB37987|s__GGB37987_SGB47175|t__SGB47175:0.291447	GGB37987_SGB47175	SGB47175
1041-787	kSGB_5986:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_necrophorum|t__SGB5986:0.12440951111111112	Fusobacterium_necrophorum	SGB5986
1063-806	kSGB_28718:Species:k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium_OH741_COT_311|t__SGB28718:0.372583	Erysipelotrichaceae_bacterium_OH741_COT_311	SGB28718
1061-804	kSGB_3924:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_pumilum|t__SGB3924:0.328965	Mogibacterium_pumilum	SGB3924
1068-810	kSGB_27871:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_ihumii|t__SGB27871:0.320287	Prevotella_ihumii	SGB27871
1059-802	uSGB_47448:Other:k__Bacteria|p__Firmicutes|c__CFGB14089|o__OFGB14089|f__FGB14089|g__GGB38598|s__GGB38598_SGB47448|t__SGB47448:0.273629	GGB38598_SGB47448	SGB47448
1069-811	uSGB_5277:Genus:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_SGB5277|t__SGB5277:0.35328	Oribacterium_SGB5277	SGB5277
1066-809	uSGB_3605:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3605|t__SGB3605:0.276697	Treponema_SGB3605	SGB3605
1062-805	kSGB_6631:Species:k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava|t__SGB6631:0.320287	Johnsonella_ignava	SGB6631
989-73	uSGB_3599:Other:k__Bacteria|p__Firmicutes|c__CFGB1021|o__OFGB1021|f__FGB1021|g__GGB2671|s__GGB2671_SGB3599|t__SGB3599:0.0251125	GGB2671_SGB3599	SGB3599
1073-815	kSGB_3602:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_vincentii|t__SGB3602:0.28452574999999997	Treponema_vincentii	SGB3602
1080-821	uSGB_47741:Family:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__GGB37905|s__GGB37905_SGB47741|t__SGB47741:0.287309	GGB37905_SGB47741	SGB47741
1079-820	uSGB_1314:Other:k__Bacteria|p__Firmicutes|c__CFGB494|o__OFGB494|f__FGB494|g__GGB1021|s__GGB1021_SGB1314|t__SGB1314:0.7027924999999999	GGB1021_SGB1314	SGB1314
1065-808	kSGB_28859:Species:k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Spirulinales|f__Spirulinaceae|g__Spirulina|s__Spirulina_major|t__SGB28859:0.405585	Spirulina_major	SGB28859
1064-807	uSGB_3604:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3604|t__SGB3604:0.26803	Treponema_SGB3604	SGB3604
1072-814	uSGB_47259:Other:k__Bacteria|p__Firmicutes|c__CFGB11901|o__OFGB11901|f__FGB11901|g__GGB34512|s__GGB34512_SGB47259|t__SGB47259:0.24752849999999998	GGB34512_SGB47259	SGB47259
1076-818	kSGB_1525:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris|t__SGB1525:0.2767406904761905	Prevotella_oris	SGB1525
1091-831	kSGB_58207:Species:k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae|t__SGB58207:0.35328	Enterobacter_cloacae	SGB58207
1086-827	kSGB_3324:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium_KA00251|t__SGB3324:0.372583	Bacteroidales_bacterium_KA00251	SGB3324
1077-819	uSGB_3588:Genus:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_SGB3588|t__SGB3588:0.2456275	Treponema_SGB3588	SGB3588
1083-824	kSGB_6011:Species:k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum|t__SGB6011:0.2533043846153846	Fusobacterium_nucleatum	SGB6011
1071-813	kSGB_1525:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris|t__SGB1525:0.32632071428571435	Prevotella_oris	SGB1525
1088-829	kSGB_21553:Species:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_820|t__SGB21553:0.339586	Prevotella_sp_oral_taxon_820	SGB21553
1085-826	kSGB_50617:Species:k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae|t__SGB50617:0.186761	Streptococcus_pneumoniae	SGB50617
1084-825	kSGB_6654:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_sp_oral_taxon_110|t__SGB6654:0.273629	Parvimonas_sp_oral_taxon_110	SGB6654
1092-832	uSGB_58499:Genus:k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_SGB58499|t__SGB58499:0.328965	Bacteroides_SGB58499	SGB58499
1087-828	kSGB_6654:Species:k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_sp_oral_taxon_110|t__SGB6654:0.245371	Parvimonas_sp_oral_taxon_110	SGB6654
1090-830	kSGB_3583:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_socranskii|t__SGB3583:0.306598	Treponema_socranskii	SGB3583
1081-822	kSGB_3606:Species:k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_medium|t__SGB3606:0.249865	Treponema_medium	SGB3606
